"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.531651230E-1,3.974304199E-1,9.600753784E0,1.522705078E0,9.728877372E0
3.582005230E-1,2.777252197E-1,9.500198364E0,1.690307617E0,9.653395263E0
3.632054060E-1,1.628112793E-1,9.346969604E0,1.800445557E0,9.520186579E0
3.682408060E-1,-2.394104004E-2,9.169799805E0,1.905792236E0,9.365780570E0
3.732762070E-1,-1.675872803E-1,8.987838745E0,1.958450317E0,9.200264042E0
3.783116070E-1,-3.112487793E-1,8.829818726E0,1.991973877E0,9.057070964E0
3.833164900E-1,-3.447723389E-1,8.719680786E0,2.025497437E0,8.958478713E0
3.883518900E-1,-3.208160400E-1,8.671798706E0,2.111679077E0,8.930968831E0
3.933872910E-1,-2.920989990E-1,8.676589966E0,2.284072876E0,8.976944033E0
3.983921740E-1,-2.442016602E-1,8.734054565E0,2.442092896E0,9.072329431E0
4.034275740E-1,-1.197052002E-1,8.791503906E0,2.533065796E0,9.149934021E0
4.084629740E-1,4.309082031E-2,8.901641846E0,2.614471436E0,9.277744621E0
4.134983750E-1,2.442016602E-1,8.978256226E0,2.609680176E0,9.353028917E0
4.185032580E-1,4.405364990E-1,9.011779785E0,2.533065796E0,9.371375013E0
4.235386580E-1,5.363006592E-1,8.987838745E0,2.509124756E0,9.346901666E0
4.285740580E-1,6.847381592E-1,8.939956665E0,2.533065796E0,9.317087197E0
4.335789410E-1,8.331756592E-1,8.887283325E0,2.533065796E0,9.278707286E0
4.386143420E-1,9.145812988E-1,8.834609985E0,2.489974976E0,9.224248908E0
4.436497420E-1,9.768371582E-1,8.791503906E0,2.446868896E0,9.177794897E0
4.486851420E-1,9.672546387E-1,8.734054565E0,2.370254517E0,9.101505214E0
4.536900250E-1,9.241638184E-1,8.667007446E0,2.269699097E0,9.006810247E0
4.587254260E-1,8.523406982E-1,8.566452026E0,2.149993896E0,8.873165091E0
4.637608260E-1,7.661437988E-1,8.480270386E0,2.082962036E0,8.765882328E0
4.687657090E-1,6.655883789E-1,8.360549927E0,2.025497437E0,8.628119310E0
4.738011090E-1,5.315093994E-1,8.279144287E0,2.035064697E0,8.542143799E0
4.788365100E-1,4.453277588E-1,8.207321167E0,2.068588257E0,8.475700262E0
4.838719100E-1,3.639221191E-1,8.188171387E0,2.097320557E0,8.460339443E0
4.888767930E-1,3.303985596E-1,8.202529907E0,2.173934937E0,8.492152448E0
4.939121930E-1,3.303985596E-1,8.221694946E0,2.221817017E0,8.523021873E0
