"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.464483380E-1,-1.723785400E-1,1.097981262E1,2.202667236E0,1.119989922E1
3.514837380E-1,-1.388702393E-1,1.108515930E1,2.231399536E0,1.130836794E1
3.565191380E-1,2.873229980E-2,1.114260864E1,2.250549316E0,1.136765258E1
3.615545390E-1,2.442016602E-1,1.114739990E1,2.379837036E0,1.140121850E1
3.665594220E-1,4.596862793E-1,1.106599426E1,2.643203735E0,1.138657396E1
3.715948220E-1,6.799468994E-1,1.097502136E1,2.968811035E0,1.138978756E1
3.766302220E-1,8.810729980E-1,1.091276550E1,3.356674194E0,1.145128823E1
3.816656230E-1,1.091751099E0,1.082179260E1,3.782836914E0,1.151577052E1
3.866705060E-1,1.283294678E0,1.081700134E1,4.218582153E0,1.168121563E1
3.917059060E-1,1.470046997E0,1.090798950E1,4.572921753E0,1.191876195E1
3.967413060E-1,1.513137817E0,1.100854492E1,4.836288452E0,1.211888334E1
4.017461890E-1,1.374267578E0,1.107078552E1,5.023040771E0,1.223445308E1
4.067815900E-1,1.115692139E0,1.109951782E1,5.061340332E0,1.224994820E1
4.118169900E-1,7.422027588E-1,1.112825012E1,5.003875732E0,1.222405776E1
4.168523900E-1,3.256072998E-1,1.127668762E1,4.850646973E0,1.228000325E1
4.218572730E-1,-9.576416016E-2,1.157357788E1,4.611236572E0,1.245874707E1
4.268926740E-1,-5.889739990E-1,1.198059082E1,4.304779053E0,1.274411901E1
4.319280740E-1,-1.029510498E0,1.248336792E1,4.141967773E0,1.319281105E1
4.369634740E-1,-1.474822998E0,1.305319214E1,4.204223633E0,1.379262209E1
4.419683570E-1,-1.934509277E0,1.356555176E1,4.299987793E0,1.436162998E1
4.470037580E-1,-2.231399536E0,1.389115906E1,4.036621094E0,1.463686284E1
4.520391580E-1,-2.427719116E0,1.388636780E1,3.112457275E0,1.443649615E1
4.570745580E-1,-2.394195557E0,1.362779236E1,1.426940918E0,1.390989063E1
4.620794410E-1,-2.011123657E0,1.335006714E1,-5.841827393E-1,1.351333343E1
4.671148420E-1,-1.508346558E0,1.308670044E1,-2.480392456E0,1.340481945E1
4.721502420E-1,-1.048660278E0,1.269406128E1,-3.993530273E0,1.334867650E1
4.771551250E-1,-6.129150391E-1,1.215776062E1,-5.104431152E0,1.320007672E1
4.821905250E-1,-1.675872803E-1,1.157835388E1,-5.822692871E0,1.296110012E1
4.872259260E-1,2.346343994E-1,1.097023010E1,-6.210556030E0,1.260841021E1
4.922613260E-1,4.548950195E-1,1.035252380E1,-6.497863770E0,1.223126781E1
4.972662090E-1,4.788360596E-1,9.777923584E0,-6.636734009E0,1.182722757E1
5.023016090E-1,3.112487793E-1,9.342178345E0,-6.421249390E0,1.134044160E1
5.073370100E-1,5.746459961E-2,9.026138306E0,-5.899307251E0,1.078314893E1
5.123724100E-1,-2.681579590E-1,8.906433105E0,-5.037399292E0,1.023581218E1
5.173772930E-1,-6.129150391E-1,8.901641846E0,-4.185058594E0,9.855435446E0
5.224126930E-1,-9.768371582E-1,8.944732666E0,-3.356674194E0,9.603630300E0
5.274480940E-1,-1.182739258E0,9.117126465E0,-2.466033936E0,9.518518293E0
5.324529760E-1,-1.283294678E0,9.418792725E0,-1.651992798E0,9.648294244E0
5.374883770E-1,-1.307235718E0,9.840164185E0,-9.624633789E-1,9.973165604E0
5.425237770E-1,-1.221038818E0,1.033816528E1,-4.405364990E-1,1.041934113E1
5.475591780E-1,-1.039077759E0,1.086488342E1,-7.182312012E-2,1.091469344E1
5.525640600E-1,-7.182617188E-1,1.138682556E1,2.202606201E-1,1.141158232E1
5.575994610E-1,-3.303985596E-1,1.177468872E1,4.022216797E-1,1.178618853E1
5.626348610E-1,1.053466797E-1,1.199494934E1,4.309539795E-1,1.200315079E1
5.676702620E-1,5.075683594E-1,1.213859558E1,4.548950195E-1,1.215771598E1
5.726751440E-1,8.379669189E-1,1.213859558E1,4.118041992E-1,1.217445169E1
5.777105450E-1,1.101333618E0,1.202847290E1,3.447723389E-1,1.208370655E1
5.827459450E-1,1.264144897E0,1.181777954E1,1.867523193E-1,1.188666699E1
5.877508280E-1,1.350326538E0,1.156878662E1,-2.394104004E-2,1.164735072E1
5.927862280E-1,1.508346558E0,1.131979370E1,-2.202606201E-1,1.142196802E1
5.978216290E-1,1.771713257E0,1.105163574E1,-3.160400391E-1,1.119720955E1
6.028570290E-1,2.135635376E0,1.078347778E1,-3.160400391E-1,1.099746393E1
6.078619120E-1,2.485183716E0,1.046745300E1,-2.154846191E-1,1.076058289E1
6.128973120E-1,2.710235596E0,1.009873962E1,-2.873229980E-2,1.045613430E1
6.179327130E-1,2.911346436E0,9.792282104E0,1.580200195E-1,1.021712764E1
6.229681130E-1,3.102890015E0,9.399642944E0,3.112487793E-1,9.903438278E0
6.279729960E-1,3.227386475E0,9.074020386E0,4.692687988E-1,9.642306914E0
6.330083960E-1,3.313568115E0,8.757995605E0,5.458831787E-1,9.379776603E0
6.380437970E-1,3.294418335E0,8.465896606E0,6.129150391E-1,9.104958120E0
6.430486790E-1,3.260910034E0,8.188171387E0,6.703796387E-1,8.839066340E0
6.480840800E-1,3.193862915E0,8.001419067E0,6.991119385E-1,8.643623367E0
6.531194800E-1,3.031066895E0,7.819458008E0,7.182617188E-1,8.417077281E0
6.581548810E-1,2.834732056E0,7.709335327E0,7.517852783E-1,8.248317290E0
6.631597630E-1,2.638412476E0,7.613555908E0,7.134704590E-1,8.089282666E0
6.681951640E-1,2.422927856E0,7.556106567E0,7.182617188E-1,7.967510637E0
6.732305640E-1,2.116470337E0,7.474700928E0,7.422027588E-1,7.803939107E0
6.782659650E-1,1.905792236E0,7.441177368E0,7.613525391E-1,7.718991020E0
6.832708470E-1,1.742980957E0,7.422027588E0,8.236083984E-1,7.668298829E0
6.883062480E-1,1.532287598E0,7.407653809E0,9.289550781E-1,7.621298955E0
6.933416480E-1,1.278503418E0,7.412445068E0,1.120483398E0,7.604892894E0
6.983465310E-1,1.015136719E0,7.422027588E0,1.436523438E0,7.627620577E0
7.033819310E-1,7.948760986E-1,7.431594849E0,1.776504517E0,7.682213112E0
7.084173320E-1,4.884185791E-1,7.422027588E0,2.059020996E0,7.717811457E0
7.134527320E-1,1.053466797E-1,7.431594849E0,2.298431396E0,7.779619965E0
7.184576150E-1,-3.878631592E-1,7.393295288E0,2.523483276E0,7.821714703E0
7.234930150E-1,-8.619079590E-1,7.350204468E0,2.580947876E0,7.837709039E0
7.285284160E-1,-1.345535278E0,7.249649048E0,2.643203735E0,7.832905112E0
7.335638160E-1,-1.786071777E0,7.158660889E0,2.729385376E0,7.866766975E0
7.385686990E-1,-2.197875977E0,7.043746948E0,2.715026855E0,7.862340663E0
7.436040990E-1,-2.394195557E0,6.957550049E0,2.691085815E0,7.834642169E0
7.486395000E-1,-2.595321655E0,6.880935669E0,2.710235596E0,7.837623821E0
7.536749000E-1,-2.695877075E0,6.847412109E0,2.719818115E0,7.845522059E0
7.586797830E-1,-2.609680176E0,6.833053589E0,2.710235596E0,7.800412101E0
7.637151830E-1,-2.403778076E0,6.842636108E0,2.686294556E0,7.734080190E0
7.687505840E-1,-1.987182617E0,6.957550049E0,2.643203735E0,7.703435819E0
7.737859840E-1,-1.517929077E0,7.153869629E0,2.604888916E0,7.763208461E0
7.787908670E-1,-1.086975098E0,7.331039429E0,2.590530396E0,7.850891777E0
7.838262670E-1,-6.512298584E-1,7.541732788E0,2.628829956E0,8.013275280E0
7.888616680E-1,-2.394256592E-1,7.766784668E0,2.643203735E0,8.207727744E0
7.938970680E-1,4.788208008E-2,7.996627808E0,2.647979736E0,8.423784522E0
7.989019510E-1,2.202606201E-1,8.226470947E0,2.571365356E0,8.621789767E0
8.039373510E-1,3.303985596E-1,8.413223267E0,2.413360596E0,8.758755523E0
8.089727520E-1,4.118041992E-1,8.638275146E0,2.284072876E0,8.944627947E0
8.139776350E-1,4.357452393E-1,8.844177246E0,2.149993896E0,9.112179697E0
8.190130350E-1,4.165954590E-1,9.040512085E0,2.087738037E0,9.287790945E0
8.240484350E-1,3.734893799E-1,9.241622925E0,2.059020996E0,9.475582096E0
8.290838360E-1,3.160400391E-1,9.414001465E0,2.049438477E0,9.639683758E0
8.340887190E-1,2.059020996E-1,9.548080444E0,2.039855957E0,9.765718006E0
8.391241190E-1,4.788208008E-2,9.619903564E0,2.054229736E0,9.836904853E0
8.441595190E-1,-4.791259766E-3,9.677368164E0,2.106903076E0,9.904065736E0
8.491949200E-1,-1.101379395E-1,9.696517944E0,2.221817017E0,9.948420049E0
8.541998030E-1,-1.675872803E-1,9.734817505E0,2.427719116E0,1.003436981E1
8.592352030E-1,-2.106933594E-1,9.797073364E0,2.729385376E0,1.017234401E1
8.642706030E-1,-2.489929199E-1,9.912002563E0,3.078948975E0,1.038218277E1
8.693060040E-1,-3.208160400E-1,1.008438110E1,3.505111694E0,1.068098653E1
8.743108870E-1,-3.256072998E-1,1.035252380E1,3.902542114E0,1.106845085E1
8.793462870E-1,-3.926544189E-1,1.064462280E1,4.161117554E0,1.143578031E1
8.843816870E-1,-4.501037598E-1,1.093193054E1,4.261672974E0,1.174187188E1
8.894170880E-1,-6.177062988E-1,1.122401428E1,4.280838013E0,1.202853407E1
8.944219710E-1,-8.188171387E-1,1.152090454E1,4.228164673E0,1.229955607E1
8.994573710E-1,-1.158798218E0,1.181298828E1,4.165908813E0,1.257951914E1
9.044927710E-1,-1.561019897E0,1.211944580E1,4.113235474E0,1.289327172E1
9.095281720E-1,-2.006347656E0,1.237322998E1,4.041412354E0,1.317024164E1
9.145330540E-1,-2.580947876E0,1.253604126E1,4.041412354E0,1.342187156E1
9.195684550E-1,-3.088516235E0,1.265095520E1,4.036621094E0,1.363377827E1
9.246038550E-1,-3.433288574E0,1.274194336E1,4.108444214E0,1.382113978E1
9.296392560E-1,-3.533843994E0,1.287123108E1,4.223373413E0,1.399976878E1
9.346441380E-1,-3.447647095E0,1.306755066E1,4.338287354E0,1.419393842E1
9.396795390E-1,-3.270477295E0,1.327824402E1,4.338287354E0,1.434672517E1
9.447149390E-1,-3.011901855E0,1.347935486E1,4.185058594E0,1.443188399E1
9.497198220E-1,-2.576156616E0,1.366131592E1,4.146759033E0,1.450736868E1
9.547552220E-1,-1.939300537E0,1.384327698E1,4.046203613E0,1.455228394E1
9.597906230E-1,-1.417373657E0,1.389115906E1,3.552993774E0,1.440822726E1
9.648260230E-1,-1.115692139E0,1.387200928E1,2.422927856E0,1.412614561E1
9.698309060E-1,-9.576873779E-1,1.385763550E1,7.469940186E-1,1.391075939E1
9.748663060E-1,-7.422027588E-1,1.384327698E1,-1.101333618E0,1.390683710E1
9.799017070E-1,-3.830718994E-1,1.377622986E1,-2.782058716E0,1.405955561E1
9.849371070E-1,-7.182312012E-2,1.358949280E1,-3.940856934E0,1.414955216E1
9.899419900E-1,2.633666992E-1,1.331176758E1,-4.707000732E0,1.412191113E1
9.949773900E-1,4.405364990E-1,1.283291626E1,-5.243301392E0,1.386975204E1
1.000012791E0,4.070129395E-1,1.229661560E1,-5.621582031E0,1.352681039E1
1.005048191E0,2.968750000E-1,1.165019226E1,-5.966354370E0,1.309245962E1
1.010053074E0,9.576416016E-2,1.090319824E1,-6.291961670E0,1.258879201E1
1.015088474E0,1.197052002E-1,1.020887756E1,-6.435607910E0,1.206866022E1
1.020123875E0,3.926544189E-1,9.595962524E0,-6.301544189E0,1.148678081E1
1.025159275E0,6.991119385E-1,9.074020386E0,-5.837066650E0,1.081193556E1
1.030164158E0,9.911956787E-1,8.652648926E0,-5.042190552E0,1.006352264E1
1.035199558E0,1.388641357E0,8.384490967E0,-4.022262573E0,9.402478918E0
1.040234959E0,1.680725098E0,8.212112427E0,-2.935287476E0,8.881415424E0
1.045270359E0,1.872268677E0,8.101974487E0,-1.924942017E0,8.535384137E0
1.050275242E0,1.977615356E0,8.068466187E0,-1.005569458E0,8.367931586E0
1.055310642E0,1.963241577E0,8.149856567E0,-1.867523193E-1,8.385067441E0
1.060346043E0,1.757339478E0,8.331817627E0,8.092346191E-1,8.553495641E0
1.065350926E0,1.412582397E0,8.556884766E0,1.695098877E0,8.836799541E0
1.070386326E0,9.672546387E-1,8.801086426E0,2.360687256E0,9.163380824E0
1.075421726E0,3.495483398E-1,9.050079346E0,2.973602295E0,9.532493421E0
1.080457127E0,-3.256072998E-1,9.275131226E0,3.438079834E0,9.897195174E0
1.085462010E0,-1.053451538E0,9.433151245E0,3.672698975E0,1.017756456E1
1.090497410E0,-1.747772217E0,9.572021484E0,3.600875854E0,1.037519204E1
