"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.458427936E0,3.256114423E-1,9.789890289E0,9.217676520E-1
1.474479952E0,3.591302633E-1,9.871294022E0,8.906430602E-1
1.490501451E0,3.303998411E-1,9.818621635E0,9.169792533E-1
1.506522950E0,3.327940404E-1,9.792284966E0,9.361328483E-1
1.522544449E0,3.160346150E-1,9.797073364E0,9.840168953E-1
1.538565948E0,2.585737705E-1,9.811438560E0,9.983820915E-1
1.554587447E0,1.867477298E-1,9.818621635E0,9.169792533E-1
1.570608946E0,6.703764945E-2,9.847352028E0,9.265560508E-1
1.586630445E0,-4.548983276E-2,9.837775230E0,9.648633003E-1
1.602651944E0,-4.070143029E-2,9.844957352E0,9.864110947E-1
1.618673443E0,-5.746084079E-2,9.847352028E0,9.864110947E-1
1.634725459E0,-7.900865376E-2,9.852140427E0,1.067813993E0
1.650746959E0,-1.292868853E-1,9.883264542E0,9.911994934E-1
1.666768457E0,-1.316810995E-1,9.864110947E0,9.457096457E-1
1.682789957E0,-5.985504389E-2,9.904812813E0,9.504981041E-1
1.698811455E0,-4.788403399E-3,9.868899345E0,9.744400978E-1
1.714832955E0,4.309562966E-2,9.801861763E0,9.792284966E-1
1.730854455E0,1.101332754E-1,9.751583099E0,9.768342972E-1
1.746906471E0,1.077390760E-1,9.806650162E0,9.648633003E-1
1.762927969E0,1.867477298E-1,9.828198433E0,1.029506683E0
1.778949469E0,2.513911724E-1,9.849745750E0,9.145850539E-1
1.794970967E0,3.351882398E-1,9.919178009E0,8.427590132E-1
1.810992467E0,2.801215947E-1,9.916783333E0,8.954314590E-1
1.827013966E0,2.753331959E-1,9.821015358E0,8.595184088E-1
1.843035465E0,2.418143749E-1,9.756371498E0,8.834604025E-1
1.859087481E0,1.221042871E-1,9.801861763E0,8.906430602E-1
1.875108980E0,6.703764945E-2,9.818621635E0,8.930372596E-1
1.891130479E0,9.337386489E-2,9.873687744E0,8.499416113E-1
1.907151978E0,3.112462163E-2,9.868899345E0,8.906430602E-1
1.923173477E0,1.197100803E-2,9.842563629E0,8.954314590E-1
1.939194976E0,2.154781483E-2,9.821015358E0,9.265560508E-1
1.955216476E0,-3.591302410E-2,9.818621635E0,8.475474119E-1
1.971268492E0,-1.077390760E-1,9.849745750E0,8.236053586E-1
1.987289991E0,-1.125274822E-1,9.856928825E0,8.523358107E-1
2.003311490E0,-8.140286058E-2,9.830592155E0,8.595184088E-1
2.019332989E0,-9.097966552E-2,9.785101891E0,8.714894056E-1
2.035354488E0,-1.268926859E-1,9.797073364E0,8.667010069E-1
2.051375988E0,-2.537853718E-1,9.828198433E0,9.409212470E-1
2.067428004E0,-2.226607651E-1,9.818621635E0,9.504981041E-1
2.083449502E0,-1.556231081E-1,9.868899345E0,9.313444495E-1
2.099471002E0,-1.675941236E-2,9.880870819E0,9.026140571E-1
2.115492500E0,1.053448766E-1,9.864110947E0,9.050082564E-1
2.131514000E0,1.532289088E-1,9.878476143E0,8.619126081E-1
2.147535498E0,1.651999205E-1,9.890447617E0,9.169792533E-1
2.163587515E0,1.364694983E-1,9.854534149E0,9.050082564E-1
2.179609014E0,2.154781520E-1,9.768342972E0,9.792284966E-1
2.195630513E0,2.705447972E-1,9.809044838E0,9.624691010E-1
2.211652012E0,3.375824392E-1,9.809044838E0,9.337386489E-1
2.227673511E0,3.758896589E-1,9.861717224E0,8.667010069E-1
2.243695010E0,4.237737060E-1,9.940725327E0,8.188169599E-1
2.259716509E0,4.357447028E-1,9.943120003E0,8.403648138E-1
2.275768526E0,4.189853072E-1,9.861717224E0,8.212111592E-1
2.291790025E0,3.902548850E-1,9.749189377E0,8.714894056E-1
2.307811524E0,2.968810201E-1,9.756371498E0,8.858546019E-1
2.323833023E0,1.460463107E-1,9.830592155E0,8.714894056E-1
2.339854522E0,-4.788403399E-3,9.797073364E0,8.930372596E-1
2.355876021E0,-3.591302410E-2,9.837775230E0,9.169792533E-1
2.371928037E0,5.027823523E-2,9.876082420E0,8.978256583E-1
2.387949537E0,1.173158810E-1,9.900024414E0,8.810662031E-1
2.403971035E0,1.484405100E-1,9.868899345E0,8.978256583E-1
2.419992535E0,1.340752989E-1,9.830592155E0,8.810662031E-1
2.436014033E0,3.351882473E-2,9.804255486E0,8.738836050E-1
2.452035533E0,-5.027823523E-2,9.811438560E0,8.379706144E-1
2.468057031E0,-8.140286058E-2,9.852140427E0,8.547300100E-1
2.484078531E0,-1.197100803E-2,9.844957352E0,8.403648138E-1
2.500100030E0,8.858546615E-2,9.868899345E0,8.403648138E-1
2.516121529E0,9.576806426E-2,9.861717224E0,8.643068075E-1
2.532143028E0,6.464344263E-2,9.830592155E0,8.571242094E-1
2.548195044E0,8.858546615E-2,9.876082420E0,8.212111592E-1
2.564216543E0,1.843535304E-1,9.957485199E0,7.685387731E-1
2.580238042E0,2.250549644E-1,9.921571732E0,7.517793179E-1
2.596259542E0,3.064578176E-1,9.823410034E0,8.810662031E-1
2.612281041E0,3.591302633E-1,9.732429504E0,8.643068075E-1
2.628302540E0,2.992752194E-1,9.730035782E0,9.600749016E-1
2.644324039E0,2.513911724E-1,9.799467087E0,9.768342972E-1
2.660376055E0,2.801215947E-1,9.852140427E0,9.409212470E-1
2.676397554E0,4.405331016E-1,9.921571732E0,9.265560508E-1
2.692419054E0,4.381389022E-1,9.904812813E0,8.331822157E-1
2.708440552E0,3.208230138E-1,9.914389610E0,7.972691655E-1
2.724462052E0,2.106897533E-1,9.919178009E0,8.164227605E-1
2.740483550E0,6.464344263E-2,9.866505623E0,8.571242094E-1
2.756535566E0,-8.140286058E-2,9.794678688E0,9.768342972E-1
2.772557066E0,-1.699883193E-1,9.739612579E0,1.029506683E0
2.788578564E0,-1.053448766E-1,9.706093788E0,1.029506683E0
2.804600064E0,-8.379705995E-2,9.785101891E0,9.265560508E-1
2.820621563E0,-6.464344263E-2,9.876082420E0,8.595184088E-1
2.836643062E0,-1.005564705E-1,9.902418137E0,9.074024558E-1
2.852664561E0,-1.891419291E-1,9.799467087E0,9.169792533E-1
2.868716577E0,-3.016694188E-1,9.670180321E0,1.003170490E0
2.884738076E0,-3.543418646E-1,9.770736694E0,1.041477680E0
2.900759576E0,-2.681505978E-1,9.921571732E0,9.840168953E-1
2.916781075E0,-1.436520964E-1,9.976638794E0,9.074024558E-1
2.932802574E0,2.154781483E-2,9.923966408E0,8.236053586E-1
2.948854590E0,1.292868853E-1,9.876082420E0,8.283938169E-1
2.964876089E0,9.816227108E-2,9.835380554E0,8.810662031E-1
2.980897588E0,7.900865376E-2,9.794678688E0,8.571242094E-1
2.996949604E0,1.628057212E-1,9.797073364E0,8.403648138E-1
3.012971103E0,2.777273953E-1,9.792284966E0,8.595184088E-1
