BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
0.550000	-1.503517	0.469506	569.519043	569.521221
0.555000	-1.153415	0.431406	570.115997	570.117327
0.560000	-1.737614	-0.497869	566.009918	566.012804
0.565000	-1.620417	-0.729361	565.664078	565.666869
0.570000	-1.620417	-1.194823	564.980240	564.983827
0.575000	-0.881742	-0.729361	566.775787	566.776943
0.580000	-1.581649	-1.503345	563.610092	563.614316
0.585000	-1.193076	-1.309539	564.894905	564.897683
0.590000	-1.737911	-1.579958	562.070053	562.074960
0.595000	-1.815744	-1.579958	561.899704	561.904859
0.600000	-1.154606	-1.076807	564.723602	564.725809
0.605000	-2.322108	-1.579958	560.531517	560.538554
0.610000	-2.167335	-1.463593	560.617493	560.623593
0.615000	-1.778168	-0.805976	562.929230	562.932615
0.620000	-1.972603	-0.419190	562.071991	562.075609
0.625000	-1.155797	0.935795	567.291664	567.293613
0.630000	-2.051031	0.508844	564.380768	564.384724
0.635000	-1.351126	1.438533	567.290390	567.293823
0.640000	-1.856299	1.204563	566.178452	566.182776
0.645000	-1.544965	1.668788	567.462517	567.467074
0.650000	-0.922595	2.250203	570.798409	570.803589
0.655000	-0.883827	2.287478	571.568741	571.574002
0.660000	-1.739102	1.668375	567.632233	567.637349
0.665000	-1.233333	2.133013	569.943359	569.948685
0.670000	-2.128567	1.318866	566.005287	566.010826
0.675000	-1.777573	1.590523	567.889900	567.894910
0.680000	-1.349935	1.900693	570.455269	570.460033
0.685000	-2.011966	1.086546	567.202812	567.207421
0.690000	-1.934430	1.126711	567.888321	567.892733
0.695000	-1.349935	1.668375	570.369965	570.374002
0.700000	-1.777573	1.164811	569.342773	569.346740
0.705000	-1.972304	0.893568	567.544350	567.548480
0.710000	-1.193374	1.590523	572.339012	572.342466
0.715000	-1.933239	0.585461	567.804077	567.807670
0.720000	-1.154606	1.551597	572.166077	572.169345
0.725000	-1.193374	1.358616	571.311852	571.314713
