"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.314484999e-1,9.877659302e0,-1.360820160e0,1.974394226e-1,9.972911667e0
6.414695000e-1,9.943222961e0,-1.330133972e0,1.848655701e-1,1.003349961e1
6.514905002e-1,9.923314362e0,-1.298250275e0,2.189945984e-1,1.001027374e1
6.615115004e-1,9.839338989e0,-1.262025604e0,2.887495422e-1,9.924146143e0
6.715325005e-1,9.722881165e0,-1.233884125e0,3.370989990e-1,9.806657122e0
6.815534998e-1,9.604028320e0,-1.220861206e0,3.153941345e-1,9.686451131e0
6.915744999e-1,9.514065399e0,-1.216520233e0,2.417472839e-1,9.594571572e0
7.015944999e-1,9.471553802e0,-1.203347626e0,2.246827698e-1,9.550332941e0
7.116155000e-1,9.497150574e0,-1.170715485e0,2.499801636e-1,9.572300343e0
7.216365002e-1,9.557325439e0,-1.141077118e0,2.874023438e-1,9.629492544e0
7.316575004e-1,9.620045013e0,-1.117426300e0,3.132984924e-1,9.689791718e0
7.416784996e-1,9.641600189e0,-1.113684082e0,2.998265076e-1,9.710336883e0
7.516994998e-1,9.608069916e0,-1.140927429e0,3.192860413e-1,9.680840174e0
7.617205000e-1,9.566755829e0,-1.206341400e0,3.754193115e-1,9.649819497e0
7.717415001e-1,9.563762054e0,-1.272503815e0,4.284091187e-1,9.657553778e0
7.817625003e-1,9.621541901e0,-1.334774323e0,4.257147217e-1,9.723010031e0
7.917835005e-1,9.725725250e0,-1.378782806e0,3.939807129e-1,9.830869467e0
8.018044997e-1,9.835147705e0,-1.410816193e0,2.835104370e-1,9.939864731e0
8.118254999e-1,9.911638641e0,-1.436562653e0,1.625619507e-1,1.001652231e1
8.218465000e-1,9.883048096e0,-1.413510590e0,1.001417542e-1,9.984121405e0
8.318675002e-1,9.805958405e0,-1.360520782e0,1.525328064e-1,9.901065765e0
8.418885004e-1,9.684411163e0,-1.259031830e0,2.718347168e-1,9.769691645e0
8.519095005e-1,9.583071899e0,-1.207389221e0,3.876937866e-1,9.666610690e0
8.619304998e-1,9.515711975e0,-1.229094086e0,5.315446472e-1,9.609473782e0
8.719515000e-1,9.520502014e0,-1.283880157e0,6.815327454e-1,9.630825185e0
8.819725001e-1,9.591005402e0,-1.323697357e0,7.565267944e-1,9.711431002e0
8.919935003e-1,9.680070190e0,-1.327439575e0,8.237370300e-1,9.805324952e0
9.020145005e-1,9.703870697e0,-1.275347900e0,8.571176147e-1,9.824778337e0
9.120354997e-1,9.674681396e0,-1.193318481e0,7.836204529e-1,9.779444265e0
9.220564999e-1,9.630822601e0,-1.154848480e0,6.375242615e-1,9.720743602e0
9.320764998e-1,9.578880615e0,-1.141526184e0,5.530998230e-1,9.662502537e0
9.420975000e-1,9.518406372e0,-1.137484589e0,5.498066711e-1,9.601886191e0
9.521185001e-1,9.494755554e0,-1.077459412e0,4.784051514e-1,9.567662897e0
9.621395003e-1,9.530231781e0,-9.839039612e-1,3.183879089e-1,9.586175237e0
9.721605005e-1,9.595346375e0,-8.683442688e-1,1.149609375e-1,9.635243112e0
9.821814997e-1,9.681267700e0,-7.550299072e-1,2.200424194e-2,9.710689915e0
9.922024999e-1,9.770332489e0,-6.300398254e-1,-2.993774414e-3,9.790625929e0
1.002223500e0,9.952653351e0,-4.396357727e-1,-1.224453735e-1,9.963111020e0
1.012244500e0,1.028077103e1,-1.869612122e-1,-1.896556091e-1,1.028421979e1
1.022265500e0,1.066801575e1,1.044827271e-1,-1.631607056e-1,1.066977498e1
1.032286500e0,1.095272369e1,4.242178345e-1,-2.254312134e-1,1.096325391e1
1.042307500e0,1.102981339e1,7.120692444e-1,-3.854484558e-1,1.105949350e1
1.052328500e0,1.095826218e1,9.048683167e-1,-5.492079163e-1,1.100926546e1
1.062349500e0,1.075244019e1,8.677455139e-1,-8.003855896e-1,1.081704994e1
1.072370500e0,1.041998154e1,6.574328613e-1,-1.097966766e0,1.049827434e1
1.082391500e0,1.010234207e1,3.278182983e-1,-1.218166809e0,1.018080108e1
1.092412500e0,9.883646851e0,-1.531315613e-1,-1.230740662e0,9.961156907e0
1.102433500e0,9.806856537e0,-6.959028625e-1,-1.216819611e0,9.906531476e0
1.112454500e0,9.807455292e0,-1.122066650e0,-1.208287354e0,9.945107903e0
1.122475500e0,9.811796265e0,-1.310375061e0,-1.222358093e0,9.974095851e0
1.132496500e0,9.735155640e0,-1.182391205e0,-1.295855255e0,9.891943446e0
1.142517500e0,9.583520966e0,-7.466473389e-1,-1.404978333e0,9.714696108e0
1.152538500e0,9.416618042e0,-1.938468933e-1,-1.255888367e0,9.501974929e0
1.162558500e0,9.368717651e0,3.641926575e-1,-9.514215088e-1,9.423943421e0
1.172579500e0,9.476792908e0,8.351133728e-1,-7.307803345e-1,9.541543798e0
1.182600500e0,9.624385986e0,1.187031555e0,-7.771838379e-1,9.728405021e0
1.192621500e0,9.725276184e0,1.389111328e0,-9.110055542e-1,9.866131879e0
1.202642500e0,9.772577820e0,1.472937012e0,-8.592132568e-1,9.920235285e0
1.212663500e0,9.783056030e0,1.438209229e0,-7.312294006e-1,9.915206882e0
1.222684500e0,9.714348907e0,1.368753662e0,-5.908213806e-1,9.828078713e0
1.232705500e0,9.593400421e0,1.295256500e0,-4.598437500e-1,9.691360963e0
1.242726500e0,9.461824036e0,1.230291595e0,-4.096980286e-1,9.550266173e0
1.252747500e0,9.389524384e0,1.163081360e0,-3.685336304e-1,9.468460458e0
1.262768500e0,9.464668121e0,1.101559296e0,-3.390449524e-1,9.534585833e0
1.272789500e0,9.658065948e0,1.070723419e0,-3.293151855e-1,9.722815179e0
1.282810500e0,9.892478485e0,1.031055908e0,-3.641926575e-1,9.952730437e0
1.292831500e0,1.010743149e1,1.001716919e0,-4.320016479e-1,1.016613169e1
1.302852500e0,1.023317001e1,1.008003845e0,-5.010081482e-1,1.029489434e1
1.312873500e0,1.022314087e1,1.008752289e0,-5.367837524e-1,1.028680355e1
1.322894500e0,1.008198441e1,1.032702484e0,-5.215155029e-1,1.014814576e1
1.332915500e0,9.871671753e0,1.051862640e0,-5.550457764e-1,9.943057579e0
1.342936500e0,9.671987000e0,1.071022797e0,-5.599855042e-1,9.747205041e0
1.352957500e0,9.525441742e0,1.112187195e0,-4.447251892e-1,9.600457345e0
1.362978500e0,9.474098511e0,1.146765289e0,-3.948788452e-1,9.551415734e0
1.372999500e0,9.502090302e0,1.220262451e0,-4.799020386e-1,9.592135660e0
1.383020500e0,9.562265167e0,1.320254517e0,-6.156697083e-1,9.672592016e0
1.393040500e0,9.602830811e0,1.395697632e0,-6.520440674e-1,9.725610157e0
1.403061500e0,9.602381744e0,1.408121796e0,-6.427633667e-1,9.726339851e0
1.413082500e0,9.561516724e0,1.368603973e0,-6.620732117e-1,9.681633118e0
1.423103500e0,9.500294037e0,1.315763855e0,-6.924600220e-1,9.615941046e0
1.433124500e0,9.432335358e0,1.260828094e0,-7.598199463e-1,9.546515811e0
1.443145500e0,9.382638702e0,1.209335175e0,-8.111631775e-1,9.494966366e0
1.453166500e0,9.369316406e0,1.181343384e0,-8.083190918e-1,9.478029429e0
1.463187500e0,9.387279053e0,1.186732178e0,-8.445437622e-1,9.499610278e0
1.473208500e0,9.382788391e0,1.201551361e0,-8.511300659e-1,9.497624232e0
1.483229500e0,9.402696991e0,1.232536926e0,-8.116122437e-1,9.517802919e0
1.493250500e0,9.410181427e0,1.298100586e0,-8.602610779e-1,9.538166949e0
1.503271500e0,9.441017303e0,1.390757904e0,-9.581575012e-1,9.590885312e0
1.513292500e0,9.502539368e0,1.486708374e0,-1.056353302e0,9.675972226e0
1.523313500e0,9.545649719e0,1.551224213e0,-1.044378204e0,9.727098794e0
1.533334500e0,9.538314972e0,1.523681488e0,-9.168434143e-1,9.702662502e0
1.543355500e0,9.489067383e0,1.457668762e0,-7.566764832e-1,9.630148354e0
1.553376500e0,9.466763763e0,1.401086426e0,-7.036866760e-1,9.595719580e0
1.563397500e0,9.456734619e0,1.362017670e0,-7.707472229e-1,9.585352006e0
1.573418500e0,9.488468628e0,1.332229614e0,-9.177415466e-1,9.625389457e0
1.583439500e0,9.551188202e0,1.269959106e0,-9.062155151e-1,9.677769307e0
1.593460500e0,9.596693573e0,1.186432800e0,-8.511300659e-1,9.707140295e0
1.603481500e0,9.581425323e0,1.104702759e0,-7.650590515e-1,9.675194818e0
1.613502500e0,9.519154816e0,1.067579956e0,-6.909631348e-1,9.603721436e0
1.623522501e0,9.460177460e0,1.071920929e0,-6.396199036e-1,9.542174054e0
1.633543500e0,9.432485046e0,1.118474121e0,-6.337820435e-1,9.519686874e0
1.643564500e0,9.491612091e0,1.130000153e0,-5.638774109e-1,9.575257603e0
1.653585500e0,9.566007385e0,1.167422333e0,-4.917274475e-1,9.649516469e0
1.663606500e0,9.595645752e0,1.200353851e0,-5.405259705e-1,9.685527094e0
1.673627500e0,9.655670929e0,1.159488831e0,-5.824388123e-1,9.742465315e0
1.683648500e0,9.797875214e0,1.034349060e0,-6.595285034e-1,9.874371602e0
1.693669500e0,1.001222946e1,8.102650452e-1,-7.872129822e-1,1.007576163e1
1.703690500e0,1.022912842e1,5.272036743e-1,-8.170010376e-1,1.027523735e1
1.713711500e0,1.035980667e1,2.835104370e-1,-7.450007629e-1,1.039042822e1
1.723732500e0,1.036339920e1,1.088237000e-1,-7.182064819e-1,1.038882602e1
